timestep,Precip_mm,Precip_m,hourly_discharge_cmd,hourly_discharge_cms
01/24/2007 00,0,0,108.73,0.001258449
01/24/2007 01,0,0,108.73,0.001258449
01/24/2007 02,0,0,108.73,0.001258449
01/24/2007 03,0,0,108.73,0.001258449
01/24/2007 04,0,0,108.73,0.001258449
01/24/2007 05,0,0,105.78,0.001224306
01/24/2007 06,0,0,105.78,0.001224306
01/24/2007 07,0,0,105.78,0.001224306
01/24/2007 08,0,0,107.26,0.001241435
01/24/2007 09,0,0,114.63,0.001326736
01/24/2007 10,0,0,114.63,0.001326736
01/24/2007 11,0,0,114.63,0.001326736
01/24/2007 12,0,0,114.63,0.001326736
01/24/2007 13,0,0,114.63,0.001326736
01/24/2007 14,0,0,114.63,0.001326736
01/24/2007 15,0,0,105.78,0.001224306
01/24/2007 16,0,0,105.78,0.001224306
01/24/2007 17,0,0,105.78,0.001224306
01/24/2007 18,0,0,105.78,0.001224306
01/24/2007 19,0,0,105.78,0.001224306
01/24/2007 20,0,0,105.78,0.001224306
01/24/2007 21,0,0,107.26,0.001241435
01/24/2007 22,0.1,0.0001,116.11,0.001343866
